Plasmid,RNA Pol,R-loop Forming
pFC1,NA,0
pFC2,NA,0
pFC3,T3,1
pFC4,T7,1
pFC5,NA,0
pFC6,T3,0
pFC7,T3,0
pFC8,T3,1
pFC9,T7,1
pFC10,T3,1
pFC11,T7,0
pFC12,NA,0
pFC13,NA,0
pFC14,T3,1
pFC15,T3,1
pFC15,T3,1
pFC16,NA,0
pFC17,T3,1
pFC18,T7,0
pFC19,NA,0
pFC20,T7,0
pFC21,T7,0
pFC22,T7,0
pFC23,T7,0
pFC24,T7,0
pFC25,T7,0
pFC26,T7,0
pFC27,T7,0
pFC28,T7,0
pFC29,T3,0
pFC30,NA,0
pFC31,NA,0
pFC32,T3,0
pFC33,T7,0
pFC34,NA,0
pFC35,RSVLTR,0
pFC36,RSVLTR,0
pFC37,RSVLTR,0
pFC38,T7,0
pFC39,T3,0
pFC40,RSV,0
pFC41,T7,0
pFC42,NA,0
pFC43,NA,0
pFC44,T7,0
pFC45,T3,0
pFC46,T3,0
pFC47,RSV,0
pFC48,RSV,0
pFC49,RSV,0
pFC50,T3,0
pFC51,T3,0
pFC52,T3,0
pFC53,T3,0
pFC54,CMV,0
pFC55,CMV,0
pFC56,RSV,0
pFC57,RSV,0
pFC58,NA,0
pFC59,NA,0
pFC60,NA,0
pFC61,NA,0
pFC62,NA,0
pFC63,RSV,0
pFC64,NA,0
pFC65,NA,0
pFC66,NA,0
